x,y
0.151010,-0.919192
0.186263,-0.919192
0.221515,-0.919192
0.256768,-0.919192
0.292020,-0.919192
0.327273,-0.919192
0.362525,-0.919192
0.397778,-0.919192
0.433030,-0.919192
0.468283,-0.919192
0.503535,-0.919192
0.538788,-0.919192
0.574040,-0.919192
0.609293,-0.919192
0.644545,-0.919192
0.679798,-0.919192
0.715051,-0.919192
0.750303,-0.919192
0.785556,-0.919192
0.820808,-0.919192
0.856061,-0.919192
0.891313,-0.919192
0.926566,-0.919192
0.961818,-0.919192
0.997071,-0.919192
1.032323,-0.919192
1.067576,-0.919192
1.102828,-0.919192
1.138081,-0.919192
1.173333,-0.919192
1.208586,-0.919192
1.243838,-0.919192
1.279091,-0.919192
1.314343,-0.919192
1.349596,-0.919192
1.384848,-0.919192
1.420101,-0.919192
1.455354,-0.919192
1.490606,-0.919192
1.525859,-0.919192
1.561111,-0.919192
1.596364,-0.919192
1.631616,-0.919192
1.666869,-0.919192
1.702121,-0.919192
1.737374,-0.919192
1.772626,-0.919192
1.807879,-0.919192
1.843131,-0.919192
1.878384,-0.919192
1.913636,-0.919192
1.948889,-0.919192
1.984141,-0.919192
2.019394,-0.919192
2.054646,-0.919192
0.010000,-0.898990
0.045253,-0.898990
0.080505,-0.898990
0.115758,-0.898990
0.151010,-0.898990
0.186263,-0.898990
0.221515,-0.898990
0.256768,-0.898990
0.292020,-0.898990
0.327273,-0.898990
0.362525,-0.898990
0.397778,-0.898990
0.433030,-0.898990
0.468283,-0.898990
0.503535,-0.898990
0.538788,-0.898990
0.574040,-0.898990
0.609293,-0.898990
0.644545,-0.898990
0.679798,-0.898990
0.715051,-0.898990
0.750303,-0.898990
0.785556,-0.898990
0.820808,-0.898990
0.856061,-0.898990
0.891313,-0.898990
0.926566,-0.898990
0.961818,-0.898990
0.997071,-0.898990
1.032323,-0.898990
1.067576,-0.898990
1.102828,-0.898990
1.138081,-0.898990
1.173333,-0.898990
1.208586,-0.898990
1.243838,-0.898990
1.279091,-0.898990
1.314343,-0.898990
1.349596,-0.898990
1.384848,-0.898990
1.420101,-0.898990
1.455354,-0.898990
1.490606,-0.898990
1.525859,-0.898990
1.561111,-0.898990
1.596364,-0.898990
1.631616,-0.898990
1.666869,-0.898990
1.702121,-0.898990
1.737374,-0.898990
1.772626,-0.898990
1.807879,-0.898990
1.843131,-0.898990
