gamma,delta,rho
0.218181818182,-0.676767676768,0.880227077129
0.241313131313,-0.676767676768,0.868681251297
0.264444444444,-0.676767676768,0.857343539011
0.287575757576,-0.676767676768,0.846211182716
0.310707070707,-0.676767676768,0.835280656815
0.333838383838,-0.676767676768,0.824548784681
0.356969696970,-0.676767676768,0.814012324839
0.380101010101,-0.676767676768,0.803668130528
0.403232323232,-0.676767676768,0.793513091780
0.426363636364,-0.676767676768,0.787182217935
0.449494949495,-0.676767676768,0.797630983318
0.472626262626,-0.676767676768,0.816599719715
0.495757575758,-0.676767676768,0.838160872459
0.518888888889,-0.676767676768,0.860919863961
0.542020202020,-0.676767676768,0.884541509382
0.565151515152,-0.676767676768,0.908909652382
0.588282828283,-0.676767676768,0.933976070878
0.611414141414,-0.676767676768,0.959719422354
0.634545454545,-0.676767676768,0.986130815033
0.010000000000,-0.656565656566,0.993984222412
0.033131313131,-0.656565656566,0.980252032923
0.056262626263,-0.656565656566,0.966760634445
0.079393939394,-0.656565656566,0.953509328865
0.102525252525,-0.656565656566,0.940494059600
0.125656565657,-0.656565656566,0.927710533142
0.148787878788,-0.656565656566,0.915157028854
0.171919191919,-0.656565656566,0.902828751513
0.195050505051,-0.656565656566,0.890722770127
0.218181818182,-0.656565656566,0.878835799916
0.241313131313,-0.656565656566,0.867164507358
0.264444444444,-0.656565656566,0.855705447500
0.287575757576,-0.656565656566,0.844455387750
0.310707070707,-0.656565656566,0.833411022439
0.333838383838,-0.656565656566,0.822569217825
0.356969696970,-0.656565656566,0.811926533905
0.380101010101,-0.656565656566,0.801479816408
0.403232323232,-0.656565656566,0.791226410321
0.426363636364,-0.656565656566,0.781162393319
0.449494949495,-0.656565656566,0.773856218269
0.472626262626,-0.656565656566,0.781826302353
0.495757575758,-0.656565656566,0.799232752343
0.518888888889,-0.656565656566,0.820054369526
0.542020202020,-0.656565656566,0.842337728828
0.565151515152,-0.656565656566,0.865587332348
0.588282828283,-0.656565656566,0.889635003069
0.611414141414,-0.656565656566,0.914410548190
0.634545454545,-0.656565656566,0.939881732716
0.657676767677,-0.656565656566,0.966033602601
0.680808080808,-0.656565656566,0.992859943994
0.010000000000,-0.636363636364,0.993910769789
0.033131313131,-0.636363636364,0.980009911323
0.056262626263,-0.636363636364,0.966355591503
0.079393939394,-0.636363636364,0.952945281619
0.102525252525,-0.636363636364,0.939774990053
0.125656565657,-0.636363636364,0.926842167989
0.148787878788,-0.636363636364,0.914142623165
0.171919191919,-0.636363636364,0.901673147036
0.195050505051,-0.636363636364,0.889430263220
0.218181818182,-0.636363636364,0.877410585988
0.241313131313,-0.636363636364,0.865610584584
0.264444444444,-0.636363636364,0.854027261776
0.287575757576,-0.636363636364,0.842656612309
0.310707070707,-0.636363636364,0.831496243241
0.333838383838,-0.636363636364,0.820541739344
0.356969696970,-0.636363636364,0.809790850936
0.380101010101,-0.636363636364,0.799239550438
0.403232323232,-0.636363636364,0.788884922863
0.426363636364,-0.636363636364,0.778723478317
0.449494949495,-0.636363636364,0.768752609951
0.472626262626,-0.636363636364,0.760741611188
0.495757575758,-0.636363636364,0.766624347406
0.518888888889,-0.636363636364,0.782272384442
0.542020202020,-0.636363636364,0.802177851227
0.565151515152,-0.636363636364,0.823905817014
0.588282828283,-0.636363636364,0.846737021707
0.611414141414,-0.636363636364,0.870432967437
0.634545454545,-0.636363636364,0.894894481870
0.657676767677,-0.636363636364,0.920075160842
0.680808080808,-0.636363636364,0.945952273340
0.703939393939,-0.636363636364,0.972515006551
0.727070707071,-0.636363636364,0.999759060610
0.010000000000,-0.616161616162,0.993834460052
0.033131313131,-0.616161616162,0.979761854514
0.056262626263,-0.616161616162,0.965940078173
0.079393939394,-0.616161616162,0.952366671991
0.102525252525,-0.616161616162,0.939038376151
0.125656565657,-0.616161616162,0.925951692578
0.148787878788,-0.616161616162,0.913103006489
0.171919191919,-0.616161616162,0.900488733780
0.195050505051,-0.616161616162,0.888105708183
0.218181818182,-0.616161616162,0.875949858688
0.241313131313,-0.616161616162,0.864018656313
0.264444444444,-0.616161616162,0.852307855834
0.287575757576,-0.616161616162,0.840814307337
