x,y
0.075859,-0.750000
0.101717,-0.750000
0.127576,-0.750000
0.153434,-0.750000
0.179293,-0.750000
0.205152,-0.750000
0.231010,-0.750000
0.256869,-0.750000
0.282727,-0.750000
0.308586,-0.750000
0.334444,-0.750000
0.360303,-0.750000
0.386162,-0.750000
0.412020,-0.750000
0.437879,-0.750000
0.463737,-0.750000
0.489596,-0.750000
0.050000,-0.730000
0.075859,-0.730000
0.101717,-0.730000
0.127576,-0.730000
0.153434,-0.730000
0.179293,-0.730000
0.205152,-0.730000
0.231010,-0.730000
0.256869,-0.730000
0.282727,-0.730000
0.308586,-0.730000
0.334444,-0.730000
0.360303,-0.730000
0.386162,-0.730000
0.412020,-0.730000
0.437879,-0.730000
0.463737,-0.730000
0.489596,-0.730000
0.515455,-0.730000
0.050000,-0.710000
0.075859,-0.710000
0.101717,-0.710000
0.127576,-0.710000
0.153434,-0.710000
0.179293,-0.710000
0.205152,-0.710000
0.231010,-0.710000
0.256869,-0.710000
0.282727,-0.710000
0.308586,-0.710000
0.334444,-0.710000
0.360303,-0.710000
0.386162,-0.710000
0.412020,-0.710000
0.437879,-0.710000
0.463737,-0.710000
0.489596,-0.710000
0.515455,-0.710000
0.541313,-0.710000
0.567172,-0.710000
0.050000,-0.690000
0.075859,-0.690000
0.101717,-0.690000
0.127576,-0.690000
0.153434,-0.690000
0.179293,-0.690000
0.205152,-0.690000
0.231010,-0.690000
0.256869,-0.690000
0.282727,-0.690000
0.308586,-0.690000
0.334444,-0.690000
0.360303,-0.690000
0.386162,-0.690000
0.412020,-0.690000
0.437879,-0.690000
0.463737,-0.690000
0.489596,-0.690000
0.515455,-0.690000
0.541313,-0.690000
0.567172,-0.690000
0.593030,-0.690000
0.618889,-0.690000
0.050000,-0.670000
0.075859,-0.670000
0.101717,-0.670000
0.127576,-0.670000
0.153434,-0.670000
0.179293,-0.670000
0.205152,-0.670000
0.231010,-0.670000
0.256869,-0.670000
0.282727,-0.670000
0.308586,-0.670000
0.334444,-0.670000
0.360303,-0.670000
0.386162,-0.670000
0.412020,-0.670000
0.437879,-0.670000
0.463737,-0.670000
0.489596,-0.670000
0.515455,-0.670000
0.541313,-0.670000
0.567172,-0.670000
0.593030,-0.670000
0.618889,-0.670000
0.644747,-0.670000
0.050000,-0.650000
0.075859,-0.650000
0.101717,-0.650000
0.127576,-0.650000
0.153434,-0.650000
0.179293,-0.650000
0.205152,-0.650000
0.231010,-0.650000
0.256869,-0.650000
0.282727,-0.650000
0.308586,-0.650000
0.334444,-0.650000
0.360303,-0.650000
0.386162,-0.650000
0.412020,-0.650000
0.437879,-0.650000
0.463737,-0.650000
0.489596,-0.650000
0.515455,-0.650000
0.541313,-0.650000
0.567172,-0.650000
0.593030,-0.650000
0.618889,-0.650000
0.644747,-0.650000
0.670606,-0.650000
0.696465,-0.650000
0.050000,-0.630000
0.075859,-0.630000
0.101717,-0.630000
0.127576,-0.630000
0.153434,-0.630000
0.179293,-0.630000
0.205152,-0.630000
0.231010,-0.630000
0.256869,-0.630000
0.282727,-0.630000
0.308586,-0.630000
0.334444,-0.630000
0.360303,-0.630000
0.386162,-0.630000
0.412020,-0.630000
0.437879,-0.630000
0.463737,-0.630000
0.489596,-0.630000
0.515455,-0.630000
0.541313,-0.630000
0.567172,-0.630000
0.593030,-0.630000
0.618889,-0.630000
0.644747,-0.630000
